Game,last_Home,last_MP,RESPONSEVAR,last_FGA,last_FG%,last_3P,last_3PA,last_3P%,last_FT,last_FTA,last_FT%,last_ORB,last_DRB,last_TRB,last_AST,last_STL,last_BLK,last_TOV,last_PF,last_PTS,last_+/-,last_TS%,last_eFG%,last_3PAr,last_FTr,last_ORB%,last_DRB%,last_TRB%,last_AST%,last_STL%,last_BLK%,last_TOV%,last_USG%,last_ORtg,last_DRtg,avg_Home,avg_MP,avg_FG,avg_FGA,avg_FG%,avg_3P,avg_3PA,avg_3P%,avg_FT,avg_FTA,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PF,avg_PTS,avg_+/-,avg_TS%,avg_eFG%,avg_3PAr,avg_FTr,avg_ORB%,avg_DRB%,avg_TRB%,avg_AST%,avg_STL%,avg_BLK%,avg_TOV%,avg_USG%,avg_ORtg,avg_DRtg,avg_def_Home,avg_def_ORtg,avg_def_FTr,avg_def_3PAr,avg_def_TS%,avg_def_eFG%,avg_def_FT/FGA,avg_def_FG,avg_def_FGA,avg_def_FG%,avg_def_2P,avg_def_2PA,avg_def_2P%,avg_def_3P,avg_def_3PA,avg_def_3P%,avg_def_FT,avg_def_FTA,avg_def_FT%,avg_def_PTS,avg_def_ORB%,avg_def_TRB%,avg_def_AST%,avg_def_STL%,avg_def_BLK%,avg_def_TOV%,season_def_Home,season_def_ORtg,season_def_FTr,season_def_3PAr,season_def_TS%,season_def_eFG%,season_def_FT/FGA,season_def_FG,season_def_FGA,season_def_FG%,season_def_2P,season_def_2PA,season_def_2P%,season_def_3P,season_def_3PA,season_def_3P%,season_def_FT,season_def_FTA,season_def_FT%,season_def_PTS,season_def_ORB%,season_def_TRB%,season_def_AST%,season_def_STL%,season_def_BLK%,season_def_TOV%
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,104.62,0.2446,0.3182,0.52,0.483,0.18659999999999996,39.0,90.8,0.4314,29.6,61.8,0.4779999999999999,9.4,29.0,0.3238,17.0,22.2,0.773,104.4,21.42,44.84,55.06,5.720000000000001,8.96,10.720000000000002,1.0,104.62,0.2446,0.3182,0.52,0.483,0.18659999999999996,39.0,90.8,0.4314,29.6,61.8,0.4779999999999999,9.4,29.0,0.3238,17.0,22.2,0.773,104.4,21.42,44.84,55.06,5.720000000000001,8.96,10.720000000000002
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,104.9,0.2726,0.3528,0.5542,0.5191999999999999,0.20260000000000003,38.2,83.8,0.4588,28.2,54.2,0.5238,10.0,29.6,0.3424,17.0,22.8,0.7422000000000001,103.4,21.96,51.7,52.92,8.3,9.94,15.120000000000001,0.6,104.9,0.2726,0.3528,0.5542,0.5191999999999999,0.20260000000000003,38.2,83.8,0.4588,28.2,54.2,0.5238,10.0,29.6,0.3424,17.0,22.8,0.7422000000000001,103.4,21.96,51.7,52.92,8.3,9.94,15.120000000000001
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,108.88,0.3364,0.31379999999999997,0.5438,0.5048000000000001,0.24619999999999997,38.8,88.0,0.4464,28.6,60.4,0.47759999999999997,10.2,27.6,0.36460000000000004,21.2,28.8,0.751,109.0,25.939999999999998,50.419999999999995,49.160000000000004,8.139999999999999,6.0600000000000005,12.059999999999999,0.8,108.88,0.3364,0.31379999999999997,0.5438,0.5048000000000001,0.24619999999999997,38.8,88.0,0.4464,28.6,60.4,0.47759999999999997,10.2,27.6,0.36460000000000004,21.2,28.8,0.751,109.0,25.939999999999998,50.419999999999995,49.160000000000004,8.139999999999999,6.0600000000000005,12.059999999999999
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,103.04,0.24420000000000003,0.3598,0.5184,0.485,0.17760000000000004,38.0,88.0,0.4332,28.8,56.0,0.5156000000000001,9.2,32.0,0.2984,15.6,21.4,0.7414000000000001,100.8,19.380000000000003,45.239999999999995,54.239999999999995,12.179999999999998,8.68,11.719999999999999,0.4,103.04,0.24420000000000003,0.3598,0.5184,0.485,0.17760000000000004,38.0,88.0,0.4332,28.8,56.0,0.5156000000000001,9.2,32.0,0.2984,15.6,21.4,0.7414000000000001,100.8,19.380000000000003,45.239999999999995,54.239999999999995,12.179999999999998,8.68,11.719999999999999
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,107.9,0.2802,0.31679999999999997,0.5589999999999999,0.5363999999999999,0.1844,40.6,84.2,0.484,31.8,57.6,0.5556,8.8,26.6,0.34119999999999995,15.2,23.2,0.6544000000000001,105.2,24.22,53.15999999999999,57.8,10.3,10.940000000000001,13.74,0.0,107.9,0.2802,0.31679999999999997,0.5589999999999999,0.5363999999999999,0.1844,40.6,84.2,0.484,31.8,57.6,0.5556,8.8,26.6,0.34119999999999995,15.2,23.2,0.6544000000000001,105.2,24.22,53.15999999999999,57.8,10.3,10.940000000000001,13.74
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,113.02000000000001,0.27280000000000004,0.35100000000000003,0.5724,0.5372,0.211,40.6,85.8,0.47379999999999994,29.8,55.8,0.5369999999999999,10.8,30.0,0.3616,18.0,23.2,0.7626000000000001,110.0,23.499999999999996,51.7,55.64,5.9399999999999995,8.120000000000001,12.4,0.8,113.02000000000001,0.27280000000000004,0.35100000000000003,0.5724,0.5372,0.211,40.6,85.8,0.47379999999999994,29.8,55.8,0.5369999999999999,10.8,30.0,0.3616,18.0,23.2,0.7626000000000001,110.0,23.499999999999996,51.7,55.64,5.9399999999999995,8.120000000000001,12.4
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,102.84,0.3008,0.3926,0.5298,0.48200000000000004,0.2378,36.2,85.0,0.42680000000000007,26.8,51.6,0.5196,9.4,33.4,0.2902,20.2,25.6,0.7758,102.0,21.66,48.279999999999994,65.52000000000001,7.279999999999999,7.32,13.459999999999999,0.4,102.84,0.3008,0.3926,0.5298,0.48200000000000004,0.2378,36.2,85.0,0.42680000000000007,26.8,51.6,0.5196,9.4,33.4,0.2902,20.2,25.6,0.7758,102.0,21.66,48.279999999999994,65.52000000000001,7.279999999999999,7.32,13.459999999999999
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,103.43999999999998,0.26,0.33399999999999996,0.5656,0.5346,0.1916,37.6,81.0,0.4662,26.6,54.0,0.4944,11.0,27.0,0.41419999999999996,15.6,21.2,0.7340000000000001,101.8,16.0,47.559999999999995,68.72,8.18,8.5,15.060000000000002,0.6,103.43999999999998,0.26,0.33399999999999996,0.5656,0.5346,0.1916,37.6,81.0,0.4662,26.6,54.0,0.4944,11.0,27.0,0.41419999999999996,15.6,21.2,0.7340000000000001,101.8,16.0,47.559999999999995,68.72,8.18,8.5,15.060000000000002
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,100.42,0.1934,0.3872000000000001,0.5212000000000001,0.4882000000000001,0.15400000000000003,37.4,86.8,0.42960000000000004,27.2,53.2,0.5071999999999999,10.2,33.6,0.3068,13.4,16.8,0.8133999999999999,98.4,20.98,47.72,60.120000000000005,8.36,9.52,14.419999999999998,0.8,100.42,0.1934,0.3872000000000001,0.5212000000000001,0.4882000000000001,0.15400000000000003,37.4,86.8,0.42960000000000004,27.2,53.2,0.5071999999999999,10.2,33.6,0.3068,13.4,16.8,0.8133999999999999,98.4,20.98,47.72,60.120000000000005,8.36,9.52,14.419999999999998
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,115.31999999999998,0.32080000000000003,0.3578,0.5836,0.5472,0.23679999999999998,41.8,87.4,0.48,30.0,56.0,0.5512000000000001,11.8,31.4,0.4008,20.6,28.0,0.7382,116.0,26.360000000000003,54.08,64.08000000000001,7.4,6.959999999999999,13.219999999999999,0.2,115.31999999999998,0.32080000000000003,0.3578,0.5836,0.5472,0.23679999999999998,41.8,87.4,0.48,30.0,56.0,0.5512000000000001,11.8,31.4,0.4008,20.6,28.0,0.7382,116.0,26.360000000000003,54.08,64.08000000000001,7.4,6.959999999999999,13.219999999999999
